From<->To,Time
A7<->DA6_TOP,321
A2<->DA6_TOP,307
A2<->BIN1,655
A7<->BIN1,502
A7<->BIN1_TOP,459
A2<->BIN1_TOP,696
A8<->DA5,433
DA5<->DA6,194
A8<->DA6,417
A1_TOP<->A8,489
A1_TOP<->DA5,265
A2_TOP<->DA5,361
A2_TOP<->A8,433
A7_TOP<->A8,208
A7_TOP<->DA5,378
A8_TOP<->DA5,501
A8<->A8_TOP,209
A8<->DA5_TOP,461
DA5<->DA5_TOP,249
DA5<->DA6_TOP,250
A8<->DA6_TOP,444
A8<->BIN1,405
BIN1<->DA5,780
BIN1_TOP<->DA5,779
A8<->BIN1_TOP,446
A1_TOP<->DA6,265
A1_TOP<->A2_TOP,210
A2_TOP<->DA6,294
A7_TOP<->DA6,361
A1_TOP<->A7_TOP,403
A1_TOP<->A8_TOP,488
A8_TOP<->DA6,406
DA5_TOP<->DA6,249
A1_TOP<->DA5_TOP,278
A1_TOP<->DA6_TOP,236
DA6<->DA6_TOP,250
BIN1<->DA6,720
A1_TOP<->BIN1,751
A1_TOP<->BIN1_TOP,736
BIN1_TOP<->DA6,695
A2_TOP<->A7_TOP,349
A7_TOP<->A8_TOP,155
A2_TOP<->A8_TOP,432
A2_TOP<->DA5_TOP,294
A7_TOP<->DA5_TOP,416
A7_TOP<->DA6_TOP,294
A2_TOP<->DA6_TOP,306
A2_TOP<->BIN1,628
A7_TOP<->BIN1,501
A7_TOP<->BIN1_TOP,461
A2_TOP<->BIN1_TOP,668
A8_TOP<->DA5_TOP,461
DA5_TOP<->DA6_TOP,189
A8_TOP<->DA6_TOP,417
A8_TOP<->BIN1,376
BIN1<->DA5_TOP,781
BIN1_TOP<->DA5_TOP,779
A8_TOP<->BIN1_TOP,419
BIN1<->DA6_TOP,656
BIN1<->BIN1_TOP,0
BIN1_TOP<->DA6_TOP,692
